Frame,Point,x,y
0.0,0.0,670.834,292.858
0.0,1.0,675.568,330.904
0.0,2.0,637.694,333.302
0.0,3.0,616.159,385.663
0.0,4.0,616.118,426.046
0.0,5.0,711.389,323.835
0.0,6.0,727.884,380.878
0.0,7.0,730.387,428.45
0.0,8.0,659.001,459.266
0.0,9.0,635.288,454.602
0.0,10.0,621.08,542.447
0.0,11.0,637.737,635.156
0.0,12.0,689.826,461.628
0.0,13.0,694.807,547.33
0.0,14.0,656.764,635.217
0.0,15.0,656.657,292.768
0.0,16.0,673.176,278.713
0.0,17.0,651.874,297.684
0.0,18.0,678.097,276.399
0.0,19.0,689.876,663.738
0.0,20.0,689.855,656.654
0.0,21.0,654.293,637.75
0.0,22.0,616.17,659.062
0.0,23.0,611.449,654.267
0.0,24.0,642.425,642.357
0.0,25.0,653.094,303.39
0.0,26.0,677.294,309.931
0.0,27.0,683.398,286.167
0.0,28.0,648.952,290.527
0.0,29.0,652.222,286.821
0.0,30.0,657.672,284.859
0.0,31.0,663.123,281.589
0.0,32.0,667.047,277.665
0.0,33.0,672.497,276.357
0.0,34.0,664.649,303.39
0.0,35.0,671.189,300.774
0.0,36.0,677.512,297.286
0.0,37.0,673.587,304.48
0.0,38.0,656.146,290.309
0.0,39.0,668.791,283.333
0.0,40.0,740.798,452.209
0.0,41.0,732.956,443.06
0.0,42.0,721.628,436.525
0.0,43.0,721.628,437.614
0.0,44.0,723.589,441.099
0.0,45.0,715.964,460.922
0.0,46.0,715.747,452.427
0.0,47.0,718.143,446.545
0.0,48.0,721.628,443.277
0.0,49.0,721.628,463.972
0.0,50.0,721.41,455.258
0.0,51.0,724.242,450.03
0.0,52.0,728.381,448.07
0.0,53.0,727.728,463.754
0.0,54.0,726.856,458.744
0.0,55.0,728.817,453.951
0.0,56.0,730.777,450.466
0.0,57.0,732.738,463.972
0.0,58.0,732.738,463.754
0.0,59.0,732.302,458.744
0.0,60.0,734.263,456.783
0.0,61.0,610.082,423.172
0.0,62.0,605.305,432.519
0.0,63.0,627.113,445.811
0.0,64.0,627.321,446.227
0.0,65.0,628.567,447.888
0.0,66.0,605.097,433.557
0.0,67.0,608.628,435.219
0.0,68.0,612.159,435.426
0.0,69.0,621.713,428.157
0.0,70.0,619.844,449.342
0.0,71.0,608.836,435.634
0.0,72.0,608.836,441.865
0.0,73.0,614.028,441.657
0.0,74.0,614.651,444.773
0.0,75.0,610.705,435.219
0.0,76.0,614.028,441.449
0.0,77.0,613.613,441.657
0.0,78.0,614.028,451.211
0.0,79.0,614.651,451.211
0.0,80.0,613.197,442.073
0.0,81.0,613.405,451.419
1.0,0.0,670.885,292.826
1.0,1.0,675.606,330.883
1.0,2.0,637.724,333.257
1.0,3.0,616.276,388.084
1.0,4.0,618.581,430.764
1.0,5.0,713.596,326.148
1.0,6.0,716.061,385.661
1.0,7.0,716.081,440.283
1.0,8.0,656.764,452.181
1.0,9.0,635.274,449.854
1.0,10.0,630.502,540.128
1.0,11.0,640.094,635.288
1.0,12.0,685.208,454.559
1.0,13.0,689.872,542.622
1.0,14.0,661.43,637.626
1.0,15.0,656.703,290.523
1.0,16.0,673.241,278.664
1.0,17.0,654.143,297.624
1.0,18.0,682.752,276.385
1.0,19.0,682.761,659.103
1.0,20.0,689.852,656.621
1.0,21.0,656.659,647.158
1.0,22.0,618.565,659.072
1.0,23.0,616.155,654.316
1.0,24.0,649.543,649.45
1.0,25.0,655.172,303.193
1.0,26.0,678.25,310.378
1.0,27.0,685.435,286.429
1.0,28.0,650.6,289.041
1.0,29.0,654.301,285.776
1.0,30.0,659.962,284.687
1.0,31.0,664.534,281.421
1.0,32.0,669.106,277.285
1.0,33.0,674.549,276.196
1.0,34.0,666.711,302.54
1.0,35.0,673.025,299.492
1.0,36.0,679.121,296.879
1.0,37.0,674.767,304.064
1.0,38.0,657.567,289.477
1.0,39.0,671.065,282.945
1.0,40.0,716.756,436.489
1.0,41.0,708.518,445.841
1.0,42.0,703.397,460.535
1.0,43.0,704.511,461.203
1.0,44.0,706.96,471.0
1.0,45.0,713.862,458.309
1.0,46.0,706.292,469.441
1.0,47.0,706.737,471.668
1.0,48.0,706.737,473.003
1.0,49.0,715.42,460.09
1.0,50.0,709.409,464.765
1.0,51.0,708.518,471.668
1.0,52.0,715.42,469.664
1.0,53.0,717.201,462.539
1.0,54.0,713.194,464.765
1.0,55.0,711.635,464.765
1.0,56.0,715.42,469.664
1.0,57.0,721.432,460.98
1.0,58.0,717.647,468.105
1.0,59.0,717.424,467.66
1.0,60.0,717.201,468.105
1.0,61.0,618.693,418.283
1.0,62.0,618.477,442.04
1.0,63.0,629.708,458.886
1.0,64.0,621.285,465.582
1.0,65.0,619.989,470.117
1.0,66.0,612.646,454.351
1.0,67.0,619.773,462.558
1.0,68.0,620.853,465.15
1.0,69.0,620.205,471.413
1.0,70.0,615.238,451.975
1.0,71.0,614.374,456.295
1.0,72.0,617.397,460.614
1.0,73.0,612.43,455.863
1.0,74.0,615.67,451.543
1.0,75.0,613.942,455.647
1.0,76.0,615.454,457.807
1.0,77.0,611.566,455.863
1.0,78.0,612.43,452.839
1.0,79.0,610.054,456.079
1.0,80.0,619.989,467.957
1.0,81.0,619.989,469.253
2.0,0.0,668.562,292.856
2.0,1.0,675.585,330.848
2.0,2.0,637.638,330.914
2.0,3.0,618.54,390.451
2.0,4.0,632.914,440.258
2.0,5.0,713.65,328.564
2.0,6.0,716.031,390.337
2.0,7.0,711.3,445.087
2.0,8.0,656.678,459.269
2.0,9.0,635.27,454.606
2.0,10.0,632.771,552.0
2.0,11.0,642.427,637.549
2.0,12.0,680.442,461.643
2.0,13.0,675.732,554.395
2.0,14.0,659.015,637.622
2.0,15.0,656.658,290.476
2.0,16.0,673.238,278.68
2.0,17.0,651.881,295.266
2.0,18.0,685.156,278.602
2.0,19.0,675.641,656.738
2.0,20.0,678.091,656.549
2.0,21.0,656.629,647.108
2.0,22.0,616.276,659.012
2.0,23.0,616.16,654.286
2.0,24.0,654.185,651.824
2.0,25.0,654.33,302.433
2.0,26.0,678.043,312.627
2.0,27.0,685.356,286.477
2.0,28.0,649.898,287.806
2.0,29.0,654.552,284.926
2.0,30.0,660.092,284.482
2.0,31.0,664.967,281.38
2.0,32.0,669.178,277.612
2.0,33.0,674.497,276.504
2.0,34.0,665.854,303.541
2.0,35.0,672.724,299.552
2.0,36.0,679.151,297.114
2.0,37.0,674.497,304.427
2.0,38.0,657.433,289.358
2.0,39.0,670.951,282.931
2.0,40.0,707.244,442.517
2.0,41.0,698.853,448.867
2.0,42.0,687.06,452.949
2.0,43.0,682.524,454.31
2.0,44.0,692.956,478.575
2.0,45.0,697.265,461.113
2.0,46.0,696.358,470.865
2.0,47.0,696.358,478.122
2.0,48.0,693.864,482.204
2.0,49.0,703.615,461.793
2.0,50.0,701.801,469.958
2.0,51.0,701.574,476.534
2.0,52.0,700.44,479.936
2.0,53.0,708.831,463.608
2.0,54.0,707.244,469.05
2.0,55.0,705.43,473.586
2.0,56.0,706.79,478.122
2.0,57.0,712.687,463.381
2.0,58.0,711.779,466.102
2.0,59.0,711.326,466.783
2.0,60.0,710.646,467.009
2.0,61.0,629.629,428.252
2.0,62.0,638.345,459.905
2.0,63.0,639.263,475.503
2.0,64.0,638.345,475.732
2.0,65.0,627.336,478.943
2.0,66.0,636.74,472.062
2.0,67.0,625.73,479.402
2.0,68.0,629.629,475.044
2.0,69.0,631.694,472.521
2.0,70.0,625.042,464.952
2.0,71.0,623.436,473.209
2.0,72.0,627.794,472.291
2.0,73.0,631.235,468.622
2.0,74.0,616.555,463.346
