Frame,plane_x,plane_y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,-87.01540183596936,-277.5144348358119
60,-97.22609469249652,-259.4229267013671
61,-107.04866029424392,-243.90911028502572
62,-116.7593932810894,-230.52863229781704
63,-126.65708702231916,-218.82881214997403
64,-137.06201485968796,-208.34947528947347
65,-148.28173119452143,-198.65039642045951
66,-160.56814571110868,-189.34299685908076
67,-174.11430454696156,-180.0916259773266
68,-189.05438839466171,-170.6135594033284
69,-205.463712501862,-160.67899902135989
70,-223.35872667128547,-150.1110729718366
71,-242.69701526072527,-138.78583565131603
72,-263.37729718304536,-126.6322677124979
73,-285.239834747271,-113.63240049385897
74,-308.08885864428754,-99.8281695002014
75,-331.72532005126243,-85.33169943085885
76,-355.9490212518393,-70.32615056970499
77,-380.55860572842556,-55.06571878515391
78,-405.35155816219,-39.875635530159144
79,-430.126209401513,-25.147786553109682
80,-454.6958730501435,-11.305945773891452
81,-478.895077562093,1.2115457314005385
82,-502.5796041839217,11.952241735126282
83,-525.6268161656701,20.481091861102843
84,-547.9395261254474,26.445814091849797
85,-569.44946432246,29.590094763375582
86,-590.117418515473,29.753865408824957
87,-609.9332339628095,26.8733027584789
88,-628.9147347969831,20.979798796494123
89,-647.0987716189361,12.19113109507072
90,-664.5368973970442,0.7069729288833742
91,-681.2953282244326,-13.191161773041411
92,-697.4491151672762,-29.145359377996154
93,-713.0664008380509,-46.74121686897141
94,-728.203269331008,-65.52072632218272
95,-742.9034858591771,-84.9831776645988
96,-757.1984967543669,-104.58515867394135
97,-771.1075831915764,-123.74252173158104
98,-784.6390201625095,-141.85629784268852
99,-797.7901581065147,-158.33308242170668
100,-810.547349769273,-172.5858558150912
101,-822.8885423723449,-184.08136387153837
102,-834.7909412809165,-192.4782392705779
103,-846.2323428479391,-197.64673988402518
104,-857.1911213959775,-199.66785072590855
105,-867.6462292172087,-198.83328395246903
106,-877.5777315104685,-195.6426465529464
107,-886.9753113827705,-190.759720404115
108,-895.845323935385,-184.97837273629037
109,-904.2110497531066,-179.2216988956563
110,-912.1106077315044,-174.47891621388766
111,-919.5895083241978,-171.56694130973725
112,-926.7005194988686,-171.07610372639732
113,-933.504077829192,-173.37068972537753
114,-940.0682884948367,-178.58894228650396
115,-946.4679163431573,-186.64512303924693
116,-952.7617439550357,-197.2731325474898
117,-958.9693010478533,-210.06374652834322
118,-965.0695833960456,-224.46472372340776
